,Time,Type,Zone1,Zone2,Zone3
0,1,Tuna,0.0,0.0,0.0
1,1,Salmon,3.0,-3.0,0.0
2,1,Clown,0.0,0.0,0.0
3,2,Tuna,0.0,0.0,0.0
4,2,Salmon,0.0,0.0,0.0
5,2,Clown,0.0,0.0,0.0
6,3,Tuna,0.0,0.0,0.0
7,3,Salmon,-1.0,1.0,0.0
8,3,Clown,0.0,0.0,0.0
9,4,Tuna,0.0,0.0,0.0
10,4,Salmon,-1.0,1.0,0.0
11,4,Clown,0.0,0.0,0.0
12,5,Tuna,0.0,-1.0,1.0
13,5,Salmon,0.0,-1.0,1.0
14,5,Clown,0.0,0.0,0.0
15,6,Tuna,0.0,0.0,0.0
16,6,Salmon,-1.0,2.0,-1.0
17,6,Clown,0.0,0.0,0.0
18,7,Tuna,0.0,0.0,0.0
19,7,Salmon,0.0,0.0,0.0
20,7,Clown,0.0,1.0,-1.0
21,8,Tuna,0.0,0.0,0.0
22,8,Salmon,0.0,0.0,0.0
23,8,Clown,0.0,0.0,0.0
24,9,Tuna,0.0,0.0,0.0
25,9,Salmon,0.0,0.0,0.0
26,9,Clown,0.0,0.0,0.0
27,10,Tuna,0.0,0.0,0.0
28,10,Salmon,0.0,0.0,0.0
29,10,Clown,0.0,0.0,0.0
30,11,Tuna,0.0,0.0,0.0
31,11,Salmon,0.0,0.0,0.0
32,11,Clown,0.0,0.0,0.0
33,12,Tuna,0.0,0.0,0.0
34,12,Salmon,-1.0,1.0,0.0
35,12,Clown,0.0,0.0,0.0
36,13,Tuna,-1.0,1.0,0.0
37,13,Salmon,0.0,0.0,0.0
38,13,Clown,0.0,0.0,0.0
39,14,Tuna,0.0,0.0,0.0
40,14,Salmon,-1.0,1.0,0.0
41,14,Clown,0.0,0.0,0.0
42,15,Tuna,0.0,0.0,0.0
43,15,Salmon,0.0,0.0,0.0
44,15,Clown,0.0,0.0,0.0
45,16,Tuna,0.0,0.0,0.0
46,16,Salmon,0.0,0.0,0.0
47,16,Clown,0.0,0.0,0.0
48,17,Tuna,0.0,0.0,0.0
49,17,Salmon,0.0,0.0,0.0
50,17,Clown,0.0,0.0,0.0
51,18,Tuna,0.0,0.0,0.0
52,18,Salmon,0.0,0.0,0.0
53,18,Clown,0.0,0.0,0.0
54,19,Tuna,0.0,0.0,0.0
55,19,Salmon,0.0,1.0,-1.0
56,19,Clown,1.0,-1.0,0.0
57,20,Tuna,-1.0,1.0,0.0
58,20,Salmon,0.0,0.0,0.0
59,20,Clown,0.0,0.0,0.0
60,21,Tuna,0.0,0.0,0.0
61,21,Salmon,0.0,0.0,0.0
62,21,Clown,1.0,-1.0,0.0
63,22,Tuna,0.0,0.0,0.0
64,22,Salmon,0.0,0.0,0.0
65,22,Clown,0.0,0.0,0.0
66,23,Tuna,0.0,0.0,0.0
67,23,Salmon,1.0,-1.0,0.0
68,23,Clown,0.0,0.0,0.0
69,24,Tuna,0.0,0.0,0.0
70,24,Salmon,0.0,-1.0,1.0
71,24,Clown,0.0,0.0,0.0
72,25,Tuna,0.0,0.0,0.0
73,25,Salmon,0.0,0.0,0.0
74,25,Clown,0.0,0.0,0.0
75,26,Tuna,0.0,0.0,0.0
76,26,Salmon,0.0,0.0,0.0
77,26,Clown,0.0,0.0,0.0
78,27,Tuna,1.0,-1.0,0.0
79,27,Salmon,0.0,-1.0,1.0
80,27,Clown,-1.0,1.0,0.0
81,28,Tuna,-1.0,1.0,0.0
82,28,Salmon,0.0,0.0,0.0
83,28,Clown,0.0,0.0,0.0
84,29,Tuna,0.0,0.0,0.0
85,29,Salmon,0.0,0.0,0.0
86,29,Clown,0.0,0.0,0.0
87,30,Tuna,0.0,0.0,0.0
88,30,Salmon,0.0,0.0,0.0
89,30,Clown,-1.0,1.0,0.0
90,31,Tuna,0.0,0.0,0.0
91,31,Salmon,0.0,0.0,0.0
92,31,Clown,0.0,0.0,0.0
93,32,Tuna,0.0,0.0,0.0
94,32,Salmon,0.0,1.0,-1.0
95,32,Clown,0.0,0.0,0.0
96,33,Tuna,0.0,0.0,0.0
97,33,Salmon,0.0,0.0,0.0
98,33,Clown,0.0,0.0,0.0
99,34,Tuna,0.0,0.0,0.0
100,34,Salmon,0.0,0.0,0.0
101,34,Clown,-1.0,1.0,0.0
102,35,Tuna,0.0,0.0,0.0
103,35,Salmon,-1.0,0.0,1.0
104,35,Clown,0.0,0.0,0.0
105,36,Tuna,0.0,0.0,0.0
106,36,Salmon,0.0,-1.0,1.0
107,36,Clown,0.0,0.0,0.0
108,37,Tuna,0.0,-1.0,1.0
109,37,Salmon,0.0,0.0,0.0
110,37,Clown,0.0,0.0,0.0
111,38,Tuna,1.0,-1.0,0.0
112,38,Salmon,0.0,0.0,0.0
113,38,Clown,-1.0,1.0,0.0
114,39,Tuna,0.0,-1.0,1.0
115,39,Salmon,1.0,-1.0,0.0
116,39,Clown,0.0,0.0,0.0
117,40,Tuna,0.0,0.0,0.0
118,40,Salmon,0.0,0.0,0.0
119,40,Clown,1.0,-1.0,0.0
120,41,Tuna,1.0,-1.0,0.0
121,41,Salmon,0.0,-1.0,1.0
122,41,Clown,0.0,0.0,0.0
123,42,Tuna,0.0,0.0,0.0
124,42,Salmon,0.0,0.0,0.0
125,42,Clown,0.0,0.0,0.0
126,43,Tuna,0.0,0.0,0.0
127,43,Salmon,-1.0,0.0,1.0
128,43,Clown,0.0,0.0,0.0
129,44,Tuna,1.0,-1.0,0.0
130,44,Salmon,0.0,0.0,0.0
131,44,Clown,0.0,0.0,0.0
132,45,Tuna,0.0,0.0,0.0
133,45,Salmon,1.0,-1.0,0.0
134,45,Clown,0.0,0.0,0.0
135,46,Tuna,0.0,0.0,0.0
136,46,Salmon,1.0,0.0,-1.0
137,46,Clown,0.0,0.0,0.0
138,47,Tuna,0.0,0.0,0.0
139,47,Salmon,0.0,0.0,0.0
140,47,Clown,1.0,-1.0,0.0
141,48,Tuna,1.0,-1.0,0.0
142,48,Salmon,0.0,0.0,0.0
143,48,Clown,1.0,-1.0,0.0
144,49,Tuna,0.0,-1.0,1.0
145,49,Salmon,0.0,0.0,0.0
146,49,Clown,0.0,0.0,0.0
147,50,Tuna,1.0,-1.0,0.0
148,50,Salmon,0.0,1.0,-1.0
149,50,Clown,-1.0,1.0,0.0
150,51,Tuna,0.0,0.0,0.0
151,51,Salmon,-1.0,0.0,1.0
152,51,Clown,1.0,-1.0,0.0
153,52,Tuna,0.0,0.0,0.0
154,52,Salmon,0.0,0.0,0.0
155,52,Clown,0.0,0.0,0.0
156,53,Tuna,0.0,0.0,0.0
157,53,Salmon,-1.0,1.0,0.0
158,53,Clown,0.0,0.0,0.0
159,54,Tuna,0.0,-1.0,1.0
160,54,Salmon,1.0,0.0,-1.0
161,54,Clown,0.0,0.0,0.0
162,55,Tuna,0.0,1.0,-1.0
163,55,Salmon,1.0,-1.0,0.0
164,55,Clown,0.0,0.0,0.0
165,56,Tuna,0.0,0.0,0.0
166,56,Salmon,0.0,0.0,0.0
167,56,Clown,0.0,0.0,0.0
168,57,Tuna,0.0,0.0,0.0
169,57,Salmon,0.0,-1.0,1.0
170,57,Clown,0.0,0.0,0.0
171,58,Tuna,0.0,0.0,0.0
172,58,Salmon,0.0,-1.0,1.0
173,58,Clown,0.0,0.0,0.0
174,59,Tuna,0.0,0.0,0.0
175,59,Salmon,0.0,-1.0,1.0
176,59,Clown,0.0,0.0,0.0
177,60,Tuna,0.0,0.0,0.0
178,60,Salmon,0.0,0.0,0.0
179,60,Clown,0.0,0.0,0.0
180,61,Tuna,-1.0,1.0,0.0
181,61,Salmon,0.0,0.0,0.0
182,61,Clown,0.0,0.0,0.0
183,62,Tuna,0.0,1.0,-1.0
184,62,Salmon,0.0,0.0,0.0
185,62,Clown,0.0,-1.0,1.0
186,63,Tuna,0.0,0.0,0.0
187,63,Salmon,-1.0,0.0,1.0
188,63,Clown,0.0,0.0,0.0
189,64,Tuna,0.0,0.0,0.0
190,64,Salmon,3.0,-4.0,1.0
191,64,Clown,0.0,0.0,0.0
192,65,Tuna,0.0,0.0,0.0
193,65,Salmon,0.0,0.0,0.0
194,65,Clown,-1.0,1.0,0.0
195,66,Tuna,0.0,0.0,0.0
196,66,Salmon,1.0,-1.0,0.0
197,66,Clown,0.0,0.0,0.0
198,67,Tuna,0.0,0.0,0.0
199,67,Salmon,0.0,0.0,0.0
200,67,Clown,0.0,0.0,0.0
201,68,Tuna,0.0,-1.0,1.0
202,68,Salmon,-1.0,2.0,-1.0
203,68,Clown,0.0,0.0,0.0
204,69,Tuna,0.0,-1.0,1.0
205,69,Salmon,1.0,-2.0,1.0
206,69,Clown,0.0,0.0,0.0
207,70,Tuna,0.0,0.0,0.0
208,70,Salmon,0.0,0.0,0.0
209,70,Clown,0.0,0.0,0.0
210,71,Tuna,0.0,0.0,0.0
211,71,Salmon,0.0,0.0,0.0
212,71,Clown,0.0,0.0,0.0
213,72,Tuna,0.0,0.0,0.0
214,72,Salmon,1.0,-1.0,0.0
215,72,Clown,0.0,0.0,0.0
216,73,Tuna,0.0,0.0,0.0
217,73,Salmon,0.0,1.0,-1.0
218,73,Clown,0.0,0.0,0.0
219,74,Tuna,0.0,0.0,0.0
220,74,Salmon,0.0,0.0,0.0
221,74,Clown,0.0,0.0,0.0
222,75,Tuna,0.0,0.0,0.0
223,75,Salmon,0.0,0.0,0.0
224,75,Clown,0.0,0.0,0.0
225,76,Tuna,0.0,0.0,0.0
226,76,Salmon,0.0,0.0,0.0
227,76,Clown,0.0,0.0,0.0
228,77,Tuna,0.0,0.0,0.0
229,77,Salmon,1.0,-1.0,0.0
230,77,Clown,0.0,0.0,0.0
231,78,Tuna,0.0,0.0,0.0
232,78,Salmon,0.0,0.0,0.0
233,78,Clown,0.0,-1.0,1.0
234,79,Tuna,0.0,0.0,0.0
235,79,Salmon,1.0,-1.0,0.0
236,79,Clown,0.0,0.0,0.0
237,80,Tuna,0.0,0.0,0.0
238,80,Salmon,-1.0,1.0,0.0
239,80,Clown,0.0,0.0,0.0
240,81,Tuna,0.0,-1.0,1.0
241,81,Salmon,0.0,0.0,0.0
242,81,Clown,0.0,0.0,0.0
243,82,Tuna,0.0,0.0,0.0
244,82,Salmon,0.0,0.0,0.0
245,82,Clown,0.0,0.0,0.0
246,83,Tuna,0.0,0.0,0.0
247,83,Salmon,-1.0,1.0,0.0
248,83,Clown,0.0,0.0,0.0
249,84,Tuna,1.0,0.0,-1.0
250,84,Salmon,1.0,-1.0,0.0
251,84,Clown,0.0,0.0,0.0
252,85,Tuna,0.0,0.0,0.0
253,85,Salmon,1.0,0.0,-1.0
254,85,Clown,0.0,0.0,0.0
255,86,Tuna,0.0,0.0,0.0
256,86,Salmon,0.0,0.0,0.0
257,86,Clown,0.0,0.0,0.0
258,87,Tuna,0.0,0.0,0.0
259,87,Salmon,2.0,-2.0,0.0
260,87,Clown,0.0,0.0,0.0
261,88,Tuna,0.0,0.0,0.0
262,88,Salmon,0.0,0.0,0.0
263,88,Clown,0.0,0.0,0.0
264,89,Tuna,0.0,0.0,0.0
265,89,Salmon,0.0,0.0,0.0
266,89,Clown,0.0,0.0,0.0
267,90,Tuna,0.0,0.0,0.0
268,90,Salmon,1.0,-1.0,0.0
269,90,Clown,0.0,0.0,0.0
270,91,Tuna,0.0,0.0,0.0
271,91,Salmon,0.0,0.0,0.0
272,91,Clown,0.0,1.0,-1.0
273,92,Tuna,0.0,0.0,0.0
274,92,Salmon,-1.0,1.0,0.0
275,92,Clown,0.0,0.0,0.0
276,93,Tuna,0.0,0.0,0.0
277,93,Salmon,-1.0,1.0,0.0
278,93,Clown,0.0,0.0,0.0
279,94,Tuna,0.0,0.0,0.0
280,94,Salmon,1.0,-1.0,0.0
281,94,Clown,1.0,-1.0,0.0
282,95,Tuna,0.0,0.0,0.0
283,95,Salmon,0.0,-1.0,1.0
284,95,Clown,0.0,0.0,0.0
285,96,Tuna,-1.0,1.0,0.0
286,96,Salmon,0.0,0.0,0.0
287,96,Clown,0.0,0.0,0.0
288,97,Tuna,0.0,0.0,0.0
289,97,Salmon,-1.0,1.0,0.0
290,97,Clown,0.0,0.0,0.0
291,98,Tuna,0.0,0.0,0.0
292,98,Salmon,0.0,1.0,-1.0
293,98,Clown,2.0,-2.0,0.0
294,99,Tuna,0.0,1.0,-1.0
295,99,Salmon,-1.0,1.0,0.0
296,99,Clown,0.0,0.0,0.0
297,100,Tuna,0.0,0.0,0.0
298,100,Salmon,0.0,-1.0,1.0
299,100,Clown,0.0,0.0,0.0
300,101,Tuna,0.0,0.0,0.0
301,101,Salmon,0.0,0.0,0.0
302,101,Clown,0.0,0.0,0.0
303,102,Tuna,0.0,0.0,0.0
304,102,Salmon,0.0,-2.0,2.0
305,102,Clown,0.0,0.0,0.0
306,103,Tuna,0.0,0.0,0.0
307,103,Salmon,0.0,0.0,0.0
308,103,Clown,0.0,0.0,0.0
309,104,Tuna,0.0,0.0,0.0
310,104,Salmon,0.0,0.0,0.0
311,104,Clown,-1.0,1.0,0.0
312,105,Tuna,0.0,0.0,0.0
313,105,Salmon,1.0,-1.0,0.0
314,105,Clown,0.0,0.0,0.0
315,106,Tuna,0.0,0.0,0.0
316,106,Salmon,0.0,0.0,0.0
317,106,Clown,1.0,-1.0,0.0
318,107,Tuna,0.0,0.0,0.0
319,107,Salmon,0.0,0.0,0.0
320,107,Clown,0.0,0.0,0.0
321,108,Tuna,0.0,-1.0,1.0
322,108,Salmon,0.0,0.0,0.0
323,108,Clown,0.0,0.0,0.0
324,109,Tuna,0.0,0.0,0.0
325,109,Salmon,0.0,0.0,0.0
326,109,Clown,0.0,0.0,0.0
327,110,Tuna,0.0,0.0,0.0
328,110,Salmon,2.0,-2.0,0.0
329,110,Clown,1.0,-1.0,0.0
330,111,Tuna,0.0,0.0,0.0
331,111,Salmon,0.0,-1.0,1.0
332,111,Clown,0.0,-1.0,1.0
333,112,Tuna,0.0,0.0,0.0
334,112,Salmon,0.0,0.0,0.0
335,112,Clown,0.0,0.0,0.0
336,113,Tuna,0.0,0.0,0.0
337,113,Salmon,0.0,0.0,0.0
338,113,Clown,0.0,0.0,0.0
339,114,Tuna,1.0,-3.0,2.0
340,114,Salmon,0.0,0.0,0.0
341,114,Clown,0.0,0.0,0.0
342,115,Tuna,-1.0,1.0,0.0
343,115,Salmon,0.0,0.0,0.0
344,115,Clown,0.0,0.0,0.0
345,116,Tuna,0.0,0.0,0.0
346,116,Salmon,0.0,0.0,0.0
347,116,Clown,1.0,-1.0,0.0
348,117,Tuna,0.0,0.0,0.0
349,117,Salmon,-2.0,1.0,1.0
350,117,Clown,1.0,-1.0,0.0
351,118,Tuna,0.0,0.0,0.0
352,118,Salmon,1.0,-1.0,0.0
353,118,Clown,0.0,0.0,0.0
354,119,Tuna,0.0,0.0,0.0
355,119,Salmon,0.0,0.0,0.0
356,119,Clown,0.0,0.0,0.0
357,120,Tuna,0.0,1.0,-1.0
358,120,Salmon,0.0,0.0,0.0
359,120,Clown,0.0,0.0,0.0
360,121,Tuna,0.0,0.0,0.0
361,121,Salmon,0.0,0.0,0.0
362,121,Clown,0.0,0.0,0.0
363,122,Tuna,0.0,0.0,0.0
364,122,Salmon,0.0,0.0,0.0
365,122,Clown,1.0,-1.0,0.0
366,123,Tuna,0.0,0.0,0.0
367,123,Salmon,1.0,-1.0,0.0
368,123,Clown,0.0,0.0,0.0
369,124,Tuna,0.0,0.0,0.0
370,124,Salmon,2.0,-2.0,0.0
371,124,Clown,0.0,0.0,0.0
372,125,Tuna,0.0,0.0,0.0
373,125,Salmon,0.0,0.0,0.0
374,125,Clown,0.0,0.0,0.0
375,126,Tuna,0.0,0.0,0.0
376,126,Salmon,1.0,-1.0,0.0
377,126,Clown,1.0,-1.0,0.0
378,127,Tuna,0.0,1.0,-1.0
379,127,Salmon,0.0,0.0,0.0
380,127,Clown,0.0,0.0,0.0
381,128,Tuna,0.0,0.0,0.0
382,128,Salmon,2.0,-2.0,0.0
383,128,Clown,0.0,0.0,0.0
384,129,Tuna,1.0,-1.0,0.0
385,129,Salmon,0.0,0.0,0.0
386,129,Clown,1.0,-1.0,0.0
387,130,Tuna,0.0,0.0,0.0
388,130,Salmon,1.0,-1.0,0.0
389,130,Clown,0.0,0.0,0.0
390,131,Tuna,0.0,0.0,0.0
391,131,Salmon,0.0,0.0,0.0
392,131,Clown,0.0,0.0,0.0
393,132,Tuna,0.0,0.0,0.0
394,132,Salmon,1.0,-3.0,2.0
395,132,Clown,0.0,0.0,0.0
396,133,Tuna,0.0,1.0,-1.0
397,133,Salmon,0.0,0.0,0.0
398,133,Clown,0.0,0.0,0.0
399,134,Tuna,0.0,0.0,0.0
400,134,Salmon,0.0,0.0,0.0
401,134,Clown,0.0,0.0,0.0
402,135,Tuna,0.0,0.0,0.0
403,135,Salmon,0.0,0.0,0.0
404,135,Clown,0.0,0.0,0.0
405,136,Tuna,0.0,0.0,0.0
406,136,Salmon,1.0,-1.0,0.0
407,136,Clown,0.0,0.0,0.0
408,137,Tuna,0.0,1.0,-1.0
409,137,Salmon,0.0,0.0,0.0
410,137,Clown,0.0,0.0,0.0
411,138,Tuna,0.0,0.0,0.0
412,138,Salmon,1.0,-1.0,0.0
413,138,Clown,0.0,0.0,0.0
414,139,Tuna,0.0,0.0,0.0
415,139,Salmon,-1.0,1.0,0.0
416,139,Clown,0.0,0.0,0.0
417,140,Tuna,0.0,0.0,0.0
418,140,Salmon,-1.0,1.0,0.0
419,140,Clown,0.0,0.0,0.0
420,141,Tuna,0.0,0.0,0.0
421,141,Salmon,0.0,0.0,0.0
422,141,Clown,0.0,0.0,0.0
423,142,Tuna,0.0,0.0,0.0
424,142,Salmon,0.0,0.0,0.0
425,142,Clown,0.0,0.0,0.0
426,143,Tuna,0.0,0.0,0.0
427,143,Salmon,0.0,0.0,0.0
428,143,Clown,1.0,-1.0,0.0
429,144,Tuna,0.0,0.0,0.0
430,144,Salmon,-1.0,1.0,0.0
431,144,Clown,0.0,0.0,0.0
432,145,Tuna,0.0,0.0,0.0
433,145,Salmon,0.0,0.0,0.0
434,145,Clown,0.0,0.0,0.0
435,146,Tuna,0.0,0.0,0.0
436,146,Salmon,-1.0,0.0,1.0
437,146,Clown,0.0,0.0,0.0
438,147,Tuna,0.0,0.0,0.0
439,147,Salmon,0.0,0.0,0.0
440,147,Clown,0.0,0.0,0.0
441,148,Tuna,0.0,0.0,0.0
442,148,Salmon,0.0,0.0,0.0
443,148,Clown,0.0,0.0,0.0
444,149,Tuna,0.0,0.0,0.0
445,149,Salmon,0.0,0.0,0.0
446,149,Clown,0.0,0.0,0.0
447,150,Tuna,0.0,0.0,0.0
448,150,Salmon,1.0,-2.0,1.0
449,150,Clown,0.0,1.0,-1.0
450,151,Tuna,0.0,0.0,0.0
451,151,Salmon,0.0,1.0,-1.0
452,151,Clown,0.0,0.0,0.0
453,152,Tuna,-1.0,1.0,0.0
454,152,Salmon,1.0,-1.0,0.0
455,152,Clown,0.0,0.0,0.0
456,153,Tuna,0.0,0.0,0.0
457,153,Salmon,0.0,0.0,0.0
458,153,Clown,0.0,0.0,0.0
459,154,Tuna,0.0,0.0,0.0
460,154,Salmon,0.0,0.0,0.0
461,154,Clown,0.0,0.0,0.0
462,155,Tuna,0.0,0.0,0.0
463,155,Salmon,0.0,1.0,-1.0
464,155,Clown,0.0,0.0,0.0
465,156,Tuna,0.0,0.0,0.0
466,156,Salmon,2.0,-2.0,0.0
467,156,Clown,0.0,0.0,0.0
468,157,Tuna,0.0,0.0,0.0
469,157,Salmon,0.0,0.0,0.0
470,157,Clown,0.0,0.0,0.0
471,158,Tuna,0.0,0.0,0.0
472,158,Salmon,0.0,0.0,0.0
473,158,Clown,0.0,0.0,0.0
474,159,Tuna,0.0,0.0,0.0
475,159,Salmon,0.0,-1.0,1.0
476,159,Clown,-1.0,1.0,0.0
477,160,Tuna,0.0,0.0,0.0
478,160,Salmon,0.0,1.0,-1.0
479,160,Clown,0.0,0.0,0.0
480,161,Tuna,0.0,0.0,0.0
481,161,Salmon,1.0,-1.0,0.0
482,161,Clown,-1.0,1.0,0.0
483,162,Tuna,0.0,0.0,0.0
484,162,Salmon,0.0,0.0,0.0
485,162,Clown,0.0,0.0,0.0
486,163,Tuna,-1.0,1.0,0.0
487,163,Salmon,1.0,-1.0,0.0
488,163,Clown,0.0,0.0,0.0
489,164,Tuna,0.0,0.0,0.0
490,164,Salmon,0.0,0.0,0.0
491,164,Clown,0.0,0.0,0.0
492,165,Tuna,0.0,0.0,0.0
493,165,Salmon,0.0,0.0,0.0
494,165,Clown,0.0,0.0,0.0
495,166,Tuna,0.0,0.0,0.0
496,166,Salmon,0.0,-1.0,1.0
497,166,Clown,0.0,0.0,0.0
498,167,Tuna,0.0,0.0,0.0
499,167,Salmon,0.0,0.0,0.0
500,167,Clown,0.0,0.0,0.0
501,168,Tuna,0.0,0.0,0.0
502,168,Salmon,2.0,-2.0,0.0
503,168,Clown,0.0,0.0,0.0
504,169,Tuna,0.0,0.0,0.0
505,169,Salmon,-1.0,0.0,1.0
506,169,Clown,0.0,0.0,0.0
507,170,Tuna,0.0,0.0,0.0
508,170,Salmon,0.0,0.0,0.0
509,170,Clown,0.0,0.0,0.0
510,171,Tuna,0.0,0.0,0.0
511,171,Salmon,0.0,0.0,0.0
512,171,Clown,0.0,0.0,0.0
513,172,Tuna,0.0,0.0,0.0
