,Time,True_type,Predicted_type,True_zone,Predicted_zone,Depth
0,1,tuna,None,1,0,10
1,1,tuna,None,1,0,10
2,1,tuna,None,4,0,10
3,1,tuna,None,1,0,10
4,1,tuna,None,3,0,10
5,1,tuna,None,3,0,10
6,1,tuna,None,2,0,10
7,1,tuna,None,1,0,10
8,1,tuna,None,1,0,10
9,1,tuna,None,4,0,10
10,1,tuna,None,1,0,10
11,1,tuna,None,4,0,10
12,1,tuna,None,3,0,10
13,1,tuna,None,3,0,10
14,1,tuna,None,1,0,10
15,1,tuna,None,3,0,10
16,1,tuna,None,3,0,10
17,1,tuna,None,3,0,10
18,1,tuna,None,2,0,10
19,1,tuna,None,1,0,10
20,1,tuna,None,4,0,10
21,1,tuna,None,3,0,10
22,1,tuna,None,3,0,10
23,1,tuna,None,1,0,10
24,1,tuna,None,1,0,10
25,1,tuna,None,4,0,10
26,1,tuna,None,4,0,10
27,1,tuna,None,3,0,10
28,1,tuna,None,3,0,10
29,1,tuna,None,3,0,10
30,1,tuna,None,1,0,10
31,1,tuna,None,3,0,10
32,1,tuna,None,2,0,10
33,1,tuna,None,4,0,10
34,1,tuna,None,1,0,10
35,1,tuna,None,3,0,10
36,1,tuna,None,1,0,10
37,1,tuna,None,1,0,10
38,1,tuna,None,3,0,10
39,1,tuna,None,1,0,10
40,1,salmon,None,1,0,20
41,1,salmon,None,2,0,20
42,1,salmon,None,2,0,20
43,1,salmon,None,1,0,20
44,1,salmon,None,4,0,20
45,1,salmon,None,1,0,20
46,1,salmon,None,3,0,20
47,1,salmon,None,1,0,20
48,1,salmon,None,2,0,20
49,1,salmon,None,1,0,20
50,1,salmon,None,3,0,20
51,1,salmon,None,1,0,20
52,1,salmon,None,4,0,20
53,1,salmon,None,4,0,20
54,1,salmon,None,3,0,20
55,1,salmon,None,1,0,20
56,1,salmon,None,1,0,20
57,1,salmon,None,2,0,20
58,1,salmon,None,1,0,20
59,1,salmon,None,1,0,20
60,1,salmon,None,4,0,20
61,1,salmon,None,1,0,20
62,1,salmon,None,3,0,20
63,1,salmon,None,2,0,20
64,1,salmon,None,1,0,20
65,1,salmon,None,3,0,20
66,1,salmon,None,2,0,20
67,1,salmon,None,4,0,20
68,1,salmon,None,4,0,20
69,1,salmon,None,3,0,20
70,1,salmon,None,2,0,20
71,1,salmon,None,2,0,20
72,1,salmon,None,4,0,20
73,1,salmon,None,2,0,20
74,1,salmon,None,3,0,20
75,1,salmon,None,4,0,20
76,1,salmon,None,2,0,20
77,1,salmon,None,2,0,20
78,1,salmon,None,3,0,20
79,1,salmon,None,4,0,20
80,1,clown,None,3,0,30
81,1,clown,None,3,0,30
82,1,clown,None,4,0,30
83,1,clown,None,3,0,30
84,1,clown,None,2,0,30
85,1,clown,None,4,0,30
86,1,clown,None,3,0,30
87,1,clown,None,2,0,30
88,1,clown,None,1,0,30
89,1,clown,None,2,0,30
90,2,tuna,tuna,1,0,10
91,2,tuna,None,1,0,10
92,2,tuna,None,4,0,10
93,2,tuna,None,1,0,10
94,2,tuna,None,3,0,10
95,2,tuna,None,3,0,10
96,2,tuna,None,2,0,10
97,2,tuna,None,1,0,10
98,2,tuna,None,1,0,10
99,2,tuna,None,4,0,10
100,2,tuna,None,1,0,10
101,2,tuna,None,4,0,10
102,2,tuna,None,3,0,10
103,2,tuna,None,3,0,10
104,2,tuna,None,1,0,10
105,2,tuna,None,3,0,10
106,2,tuna,None,3,0,10
107,2,tuna,None,3,0,10
108,2,tuna,None,2,0,10
109,2,tuna,None,1,0,10
110,2,tuna,None,4,0,10
111,2,tuna,None,3,0,10
112,2,tuna,None,3,0,10
113,2,tuna,None,1,0,10
114,2,tuna,None,1,0,10
115,2,tuna,None,4,0,10
116,2,tuna,None,4,0,10
117,2,tuna,None,3,0,10
118,2,tuna,None,3,0,10
119,2,tuna,None,3,0,10
120,2,tuna,None,1,0,10
121,2,tuna,None,3,0,10
122,2,tuna,None,2,0,10
123,2,tuna,None,4,0,10
124,2,tuna,None,1,0,10
125,2,tuna,None,3,0,10
126,2,tuna,None,1,0,10
127,2,tuna,None,1,0,10
128,2,tuna,tuna,3,0,10
129,2,tuna,None,1,0,10
130,2,salmon,None,1,0,20
131,2,salmon,None,2,0,20
132,2,salmon,None,2,0,20
133,2,salmon,None,1,0,20
134,2,salmon,None,4,0,20
135,2,salmon,None,1,0,20
136,2,salmon,None,3,0,20
137,2,salmon,None,1,0,20
138,2,salmon,None,2,0,20
