,Time,Type,Zone1,Zone2,Zone3,Zone4
0,1,Tuna,0.0,0.0,0.0,0.0
1,1,Salmon,0.0,0.0,0.0,0.0
2,1,Clown,0.0,0.0,0.0,0.0
0,2,Tuna,0.0,0.0,0.0,0.0
1,2,Salmon,-1.0,0.0,0.0,1.0
2,2,Clown,0.0,0.0,0.0,0.0
0,3,Tuna,0.0,0.0,0.0,0.0
1,3,Salmon,-1.0,0.0,0.0,1.0
2,3,Clown,0.0,0.0,0.0,0.0
0,4,Tuna,1.0,0.0,0.0,-1.0
1,4,Salmon,-1.0,0.0,0.0,1.0
2,4,Clown,0.0,0.0,0.0,0.0
0,5,Tuna,1.0,0.0,0.0,-1.0
1,5,Salmon,-2.0,1.0,-1.0,2.0
2,5,Clown,0.0,0.0,0.0,0.0
0,6,Tuna,1.0,0.0,0.0,-1.0
1,6,Salmon,-2.0,1.0,-1.0,2.0
2,6,Clown,0.0,0.0,0.0,0.0
0,7,Tuna,1.0,0.0,0.0,-1.0
1,7,Salmon,-3.0,1.0,-1.0,3.0
2,7,Clown,0.0,0.0,0.0,0.0
0,8,Tuna,1.0,0.0,0.0,-1.0
1,8,Salmon,-3.0,1.0,-1.0,3.0
2,8,Clown,0.0,0.0,0.0,0.0
0,9,Tuna,1.0,1.0,-1.0,-1.0
1,9,Salmon,-3.0,1.0,-1.0,3.0
2,9,Clown,0.0,3.0,-3.0,0.0
0,10,Tuna,1.0,1.0,0.0,-2.0
1,10,Salmon,-3.0,1.0,-1.0,3.0
2,10,Clown,0.0,3.0,-3.0,0.0
0,11,Tuna,1.0,1.0,0.0,-2.0
1,11,Salmon,-3.0,2.0,-2.0,3.0
2,11,Clown,0.0,3.0,-3.0,0.0
0,12,Tuna,1.0,1.0,0.0,-2.0
1,12,Salmon,-3.0,2.0,-2.0,3.0
2,12,Clown,0.0,3.0,-3.0,0.0
0,13,Tuna,1.0,1.0,0.0,-2.0
1,13,Salmon,-4.0,3.0,-2.0,3.0
2,13,Clown,0.0,3.0,-3.0,0.0
0,14,Tuna,1.0,1.0,0.0,-2.0
1,14,Salmon,-4.0,3.0,-1.0,2.0
2,14,Clown,0.0,3.0,-3.0,0.0
0,15,Tuna,1.0,1.0,0.0,-2.0
1,15,Salmon,-3.0,2.0,-1.0,2.0
2,15,Clown,0.0,3.0,-3.0,0.0
0,16,Tuna,2.0,0.0,0.0,-2.0
1,16,Salmon,-3.0,3.0,-2.0,2.0
2,16,Clown,0.0,3.0,-3.0,0.0
0,17,Tuna,2.0,0.0,0.0,-2.0
1,17,Salmon,-3.0,3.0,-2.0,2.0
2,17,Clown,0.0,3.0,-3.0,0.0
0,18,Tuna,2.0,0.0,0.0,-2.0
1,18,Salmon,-4.0,4.0,-2.0,2.0
2,18,Clown,0.0,3.0,-3.0,0.0
0,19,Tuna,2.0,0.0,0.0,-2.0
1,19,Salmon,-4.0,4.0,-2.0,2.0
2,19,Clown,0.0,3.0,-3.0,0.0
0,20,Tuna,2.0,0.0,0.0,-2.0
1,20,Salmon,-4.0,4.0,-2.0,2.0
2,20,Clown,0.0,3.0,-3.0,0.0
0,21,Tuna,2.0,0.0,0.0,-2.0
1,21,Salmon,-4.0,3.0,-1.0,2.0
2,21,Clown,0.0,3.0,-3.0,0.0
