,Time,Type,Zone1,Zone2,Zone3
0,1,Tuna,0.0,0.0,0.0
1,1,Salmon,1.0,1.0,-2.0
2,1,Clown,-3.0,6.0,-3.0
3,2,Tuna,0.0,0.0,0.0
4,2,Salmon,0.0,-1.0,1.0
5,2,Clown,0.0,0.0,0.0
6,3,Tuna,-1.0,1.0,0.0
7,3,Salmon,1.0,-1.0,0.0
8,3,Clown,0.0,0.0,0.0
9,4,Tuna,0.0,0.0,0.0
10,4,Salmon,-1.0,1.0,0.0
11,4,Clown,0.0,0.0,0.0
12,5,Tuna,1.0,-1.0,0.0
13,5,Salmon,-2.0,1.0,1.0
14,5,Clown,0.0,0.0,0.0
15,6,Tuna,-2.0,2.0,0.0
16,6,Salmon,0.0,0.0,0.0
17,6,Clown,0.0,-3.0,3.0
18,7,Tuna,0.0,0.0,0.0
19,7,Salmon,1.0,-1.0,0.0
20,7,Clown,-3.0,3.0,0.0
21,8,Tuna,0.0,0.0,0.0
22,8,Salmon,-1.0,1.0,0.0
23,8,Clown,0.0,0.0,0.0
24,9,Tuna,-1.0,1.0,0.0
25,9,Salmon,0.0,1.0,-1.0
26,9,Clown,0.0,0.0,0.0
27,10,Tuna,0.0,0.0,0.0
28,10,Salmon,-1.0,2.0,-1.0
29,10,Clown,0.0,3.0,-3.0
30,11,Tuna,0.0,0.0,0.0
31,11,Salmon,0.0,0.0,0.0
32,11,Clown,0.0,-3.0,3.0
33,12,Tuna,0.0,0.0,0.0
34,12,Salmon,-1.0,1.0,0.0
35,12,Clown,0.0,0.0,0.0
36,13,Tuna,0.0,0.0,0.0
37,13,Salmon,0.0,0.0,0.0
38,13,Clown,3.0,-3.0,0.0
39,14,Tuna,0.0,-1.0,1.0
40,14,Salmon,1.0,-1.0,0.0
41,14,Clown,3.0,-3.0,0.0
42,15,Tuna,0.0,0.0,0.0
43,15,Salmon,-1.0,1.0,0.0
44,15,Clown,-3.0,3.0,0.0
45,16,Tuna,0.0,0.0,0.0
46,16,Salmon,0.0,0.0,0.0
47,16,Clown,0.0,0.0,0.0
48,17,Tuna,0.0,0.0,0.0
49,17,Salmon,-3.0,3.0,0.0
50,17,Clown,-3.0,3.0,0.0
51,18,Tuna,1.0,-1.0,0.0
52,18,Salmon,0.0,0.0,0.0
53,18,Clown,0.0,0.0,0.0
54,19,Tuna,0.0,0.0,0.0
55,19,Salmon,-1.0,1.0,0.0
56,19,Clown,0.0,0.0,0.0
57,20,Tuna,-1.0,1.0,0.0
58,20,Salmon,0.0,0.0,0.0
59,20,Clown,0.0,0.0,0.0
60,21,Tuna,-1.0,1.0,0.0
61,21,Salmon,1.0,-1.0,0.0
62,21,Clown,0.0,0.0,0.0
63,22,Tuna,0.0,0.0,0.0
64,22,Salmon,0.0,-2.0,2.0
65,22,Clown,0.0,0.0,0.0
66,23,Tuna,-1.0,1.0,0.0
67,23,Salmon,0.0,0.0,0.0
68,23,Clown,0.0,0.0,0.0
69,24,Tuna,1.0,-1.0,0.0
70,24,Salmon,2.0,-3.0,1.0
71,24,Clown,0.0,0.0,0.0
72,25,Tuna,0.0,1.0,-1.0
73,25,Salmon,-2.0,2.0,0.0
74,25,Clown,0.0,0.0,0.0
75,26,Tuna,0.0,0.0,0.0
76,26,Salmon,0.0,0.0,0.0
77,26,Clown,0.0,0.0,0.0
78,27,Tuna,-1.0,0.0,1.0
79,27,Salmon,0.0,0.0,0.0
80,27,Clown,0.0,3.0,-3.0
