,Time,Type,Zone1,Zone2,Zone3,Zone4
0,1,Tuna,0.0,0.0,0.0,0.0
1,1,Salmon,-1.0,0.0,0.0,1.0
2,1,Clown,0.0,0.0,0.0,0.0
3,2,Tuna,0.0,0.0,0.0,0.0
4,2,Salmon,0.0,0.0,0.0,0.0
5,2,Clown,0.0,0.0,0.0,0.0
6,3,Tuna,1.0,0.0,0.0,-1.0
7,3,Salmon,0.0,0.0,0.0,0.0
8,3,Clown,0.0,0.0,0.0,0.0
9,4,Tuna,0.0,0.0,0.0,0.0
10,4,Salmon,-1.0,1.0,-1.0,1.0
11,4,Clown,0.0,0.0,0.0,0.0
12,5,Tuna,0.0,0.0,0.0,0.0
13,5,Salmon,0.0,0.0,0.0,0.0
14,5,Clown,0.0,0.0,0.0,0.0
15,6,Tuna,0.0,0.0,0.0,0.0
16,6,Salmon,-1.0,0.0,0.0,1.0
17,6,Clown,0.0,0.0,0.0,0.0
18,7,Tuna,0.0,0.0,0.0,0.0
19,7,Salmon,0.0,0.0,0.0,0.0
20,7,Clown,0.0,0.0,0.0,0.0
21,8,Tuna,0.0,1.0,-1.0,0.0
22,8,Salmon,0.0,0.0,0.0,0.0
23,8,Clown,0.0,3.0,-3.0,0.0
24,9,Tuna,0.0,0.0,1.0,-1.0
25,9,Salmon,0.0,0.0,0.0,0.0
26,9,Clown,0.0,0.0,0.0,0.0
27,10,Tuna,0.0,0.0,0.0,0.0
28,10,Salmon,0.0,1.0,-1.0,0.0
29,10,Clown,0.0,0.0,0.0,0.0
30,11,Tuna,0.0,0.0,0.0,0.0
31,11,Salmon,0.0,0.0,0.0,0.0
32,11,Clown,0.0,0.0,0.0,0.0
33,12,Tuna,0.0,0.0,0.0,0.0
34,12,Salmon,-1.0,1.0,0.0,0.0
35,12,Clown,0.0,0.0,0.0,0.0
36,13,Tuna,0.0,0.0,0.0,0.0
37,13,Salmon,0.0,0.0,1.0,-1.0
38,13,Clown,0.0,0.0,0.0,0.0
39,14,Tuna,0.0,0.0,0.0,0.0
40,14,Salmon,1.0,-1.0,0.0,0.0
41,14,Clown,0.0,0.0,0.0,0.0
42,15,Tuna,1.0,-1.0,0.0,0.0
43,15,Salmon,0.0,1.0,-1.0,0.0
44,15,Clown,0.0,0.0,0.0,0.0
45,16,Tuna,0.0,0.0,0.0,0.0
46,16,Salmon,0.0,0.0,0.0,0.0
47,16,Clown,0.0,0.0,0.0,0.0
48,17,Tuna,0.0,0.0,0.0,0.0
49,17,Salmon,-1.0,1.0,0.0,0.0
50,17,Clown,0.0,0.0,0.0,0.0
51,18,Tuna,0.0,0.0,0.0,0.0
52,18,Salmon,0.0,0.0,0.0,0.0
53,18,Clown,0.0,0.0,0.0,0.0
54,19,Tuna,0.0,0.0,0.0,0.0
55,19,Salmon,0.0,0.0,0.0,0.0
56,19,Clown,0.0,0.0,0.0,0.0
57,20,Tuna,0.0,0.0,0.0,0.0
58,20,Salmon,0.0,-1.0,1.0,0.0
59,20,Clown,0.0,0.0,0.0,0.0
60,21,Tuna,0.0,0.0,0.0,0.0
61,21,Salmon,0.0,0.0,1.0,-1.0
62,21,Clown,0.0,0.0,0.0,0.0
63,22,Tuna,0.0,0.0,0.0,0.0
64,22,Salmon,-1.0,1.0,0.0,0.0
65,22,Clown,0.0,0.0,0.0,0.0
66,23,Tuna,0.0,0.0,0.0,0.0
67,23,Salmon,0.0,0.0,0.0,0.0
68,23,Clown,0.0,0.0,0.0,0.0
69,24,Tuna,0.0,0.0,0.0,0.0
70,24,Salmon,0.0,0.0,0.0,0.0
71,24,Clown,0.0,0.0,0.0,0.0
72,25,Tuna,-1.0,0.0,0.0,1.0
73,25,Salmon,-1.0,1.0,0.0,0.0
74,25,Clown,0.0,3.0,-3.0,0.0
75,26,Tuna,0.0,0.0,0.0,0.0
76,26,Salmon,0.0,0.0,1.0,-1.0
77,26,Clown,0.0,0.0,0.0,0.0
78,27,Tuna,0.0,0.0,0.0,0.0
79,27,Salmon,0.0,0.0,0.0,0.0
80,27,Clown,0.0,0.0,0.0,0.0
81,28,Tuna,-1.0,1.0,0.0,0.0
82,28,Salmon,0.0,0.0,0.0,0.0
83,28,Clown,0.0,0.0,0.0,0.0
84,29,Tuna,0.0,0.0,0.0,0.0
85,29,Salmon,0.0,0.0,0.0,0.0
86,29,Clown,0.0,3.0,-3.0,0.0
87,30,Tuna,0.0,0.0,0.0,0.0
88,30,Salmon,1.0,0.0,0.0,-1.0
89,30,Clown,0.0,0.0,0.0,0.0
90,31,Tuna,0.0,0.0,0.0,0.0
91,31,Salmon,0.0,0.0,0.0,0.0
92,31,Clown,0.0,0.0,0.0,0.0
93,32,Tuna,0.0,-1.0,1.0,0.0
94,32,Salmon,-1.0,0.0,0.0,1.0
95,32,Clown,0.0,0.0,0.0,0.0
96,33,Tuna,0.0,0.0,0.0,0.0
97,33,Salmon,-1.0,0.0,0.0,1.0
98,33,Clown,0.0,0.0,0.0,0.0
99,34,Tuna,0.0,0.0,0.0,0.0
100,34,Salmon,0.0,-1.0,1.0,0.0
101,34,Clown,0.0,0.0,0.0,0.0
102,35,Tuna,0.0,0.0,0.0,0.0
103,35,Salmon,-1.0,1.0,0.0,0.0
104,35,Clown,0.0,0.0,0.0,0.0
105,36,Tuna,0.0,0.0,0.0,0.0
106,36,Salmon,0.0,0.0,0.0,0.0
107,36,Clown,0.0,0.0,0.0,0.0
108,37,Tuna,0.0,0.0,0.0,0.0
109,37,Salmon,0.0,0.0,0.0,0.0
110,37,Clown,0.0,0.0,0.0,0.0
111,38,Tuna,0.0,1.0,-1.0,0.0
112,38,Salmon,0.0,0.0,0.0,0.0
113,38,Clown,0.0,0.0,0.0,0.0
114,39,Tuna,0.0,0.0,0.0,0.0
115,39,Salmon,0.0,0.0,0.0,0.0
116,39,Clown,0.0,0.0,0.0,0.0
117,40,Tuna,1.0,-1.0,0.0,0.0
118,40,Salmon,-1.0,0.0,0.0,1.0
119,40,Clown,0.0,0.0,0.0,0.0
120,41,Tuna,0.0,0.0,0.0,0.0
121,41,Salmon,0.0,0.0,0.0,0.0
122,41,Clown,0.0,0.0,0.0,0.0
123,42,Tuna,0.0,0.0,0.0,0.0
124,42,Salmon,-1.0,0.0,0.0,1.0
125,42,Clown,0.0,0.0,-3.0,3.0
126,43,Tuna,0.0,0.0,0.0,0.0
127,43,Salmon,0.0,0.0,0.0,0.0
128,43,Clown,0.0,3.0,-3.0,0.0
129,44,Tuna,0.0,0.0,0.0,0.0
130,44,Salmon,0.0,0.0,0.0,0.0
131,44,Clown,0.0,0.0,0.0,0.0
132,45,Tuna,0.0,0.0,0.0,0.0
133,45,Salmon,0.0,0.0,0.0,0.0
134,45,Clown,0.0,0.0,0.0,0.0
135,46,Tuna,0.0,0.0,0.0,0.0
136,46,Salmon,0.0,0.0,0.0,0.0
137,46,Clown,0.0,0.0,0.0,0.0
138,47,Tuna,0.0,0.0,0.0,0.0
139,47,Salmon,0.0,0.0,0.0,0.0
140,47,Clown,0.0,0.0,0.0,0.0
141,48,Tuna,-2.0,0.0,0.0,2.0
142,48,Salmon,0.0,1.0,-1.0,0.0
143,48,Clown,0.0,0.0,0.0,0.0
144,49,Tuna,0.0,0.0,0.0,0.0
145,49,Salmon,-2.0,2.0,0.0,0.0
146,49,Clown,0.0,0.0,0.0,0.0
147,50,Tuna,0.0,0.0,0.0,0.0
148,50,Salmon,0.0,0.0,0.0,0.0
149,50,Clown,0.0,0.0,0.0,0.0
150,51,Tuna,0.0,0.0,0.0,0.0
151,51,Salmon,0.0,-1.0,1.0,0.0
152,51,Clown,0.0,0.0,0.0,0.0
153,52,Tuna,0.0,0.0,0.0,0.0
154,52,Salmon,0.0,0.0,0.0,0.0
155,52,Clown,0.0,0.0,0.0,0.0
156,53,Tuna,0.0,0.0,0.0,0.0
157,53,Salmon,0.0,0.0,0.0,0.0
158,53,Clown,0.0,0.0,0.0,0.0
159,54,Tuna,0.0,0.0,-1.0,1.0
160,54,Salmon,0.0,0.0,0.0,0.0
161,54,Clown,0.0,0.0,0.0,0.0
162,55,Tuna,0.0,0.0,0.0,0.0
